City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
217,Mujiayingzi,CN,75.7,broken clouds,42.1167,118.7833,Jinjiang Hotel
219,Huarmey,PE,62.38,scattered clouds,-10.0681,-78.1522,Hotel Miramar
220,Touros,BR,74.21,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
222,Soyo,AO,67.93,few clouds,-6.1349,12.3689,Hospedaria ndozi'ame
223,Canutama,BR,75.7,broken clouds,-6.5339,-64.3831,Hotel Jhennifer
224,Dakar,SN,81.48,overcast clouds,14.6937,-17.4441,Novotel Dakar
225,Mackay,AU,73.69,broken clouds,-21.15,149.2,International Lodge Motel
226,Hohhot,CN,82.69,clear sky,40.8106,111.6522,Sheraton Hohhot Hotel
227,Santa Maria Del Oro,MX,74.93,broken clouds,25.9333,-105.3667,Hotel Palacio Del Sol
228,Tyukalinsk,RU,66.45,clear sky,55.8732,72.1967,Гостиница Тюкалинск
230,Lincoln,US,84.29,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
231,Lisakovsk,KZ,64.18,overcast clouds,52.5369,62.4936,Gostinitsa Lisakovsk
233,Salinopolis,BR,78.66,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
234,Cabo San Lucas,MX,88.9,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
235,Khirkiya,IN,76.05,overcast clouds,22.1674,76.8605,Sanjay Industries
236,Damghan,IR,71.46,clear sky,36.1683,54.348,خوابگاه اساتيد دانشگاه دامغان
237,Anadyr,RU,63.1,light rain,64.75,177.4833,Отке17.ру — жильё для командированных
239,Gallup,US,70.56,clear sky,35.5281,-108.7426,Quality Inn & Suites Gallup I-40 Exit 20
242,Kavieng,PG,83.34,light rain,-2.5744,150.7967,Nusa Island Retreat
243,Jumla,NP,69.04,clear sky,29.2747,82.1838,Royal Garden Hotel
244,Saint George,US,87.64,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
246,Yarmouth,US,70.99,few clouds,41.7057,-70.2286,Blue Rock Resort
247,Dunmore East,IE,66.69,few clouds,52.1514,-6.9861,The Strand Inn
248,Timra,SE,61.68,light intensity drizzle,62.487,17.3257,Bergefors park
250,Portland,US,86.99,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
251,Fredericksburg,US,73.35,clear sky,38.3032,-77.4605,Courtyard by Marriott Fredericksburg Historic District
254,Mauldin,US,77.05,overcast clouds,34.7787,-82.3101,OYO Hotel Mauldin SC South Main Street
255,Yakeshi,CN,68.99,overcast clouds,49.2833,120.7333,Longhua Hotel
256,Pedreiras,BR,78.19,broken clouds,-4.5688,-44.6003,Hotel Princesa do Mearim
258,Fort Nelson,CA,63.99,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
260,Hovd,MN,71.37,clear sky,48.0056,91.6419,Hotel Khovd
261,Ketchikan,US,64.87,clear sky,55.3422,-131.6461,Snow's Cove Lodge
262,Harper,LR,75.33,overcast clouds,4.375,-7.7169,Screensaver
263,Satkhira,BD,81.32,broken clouds,22.7167,89.1,kaligonj Mass
264,Itarema,BR,76.84,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
266,Poronaysk,RU,64.29,light rain,49.2167,143.1167,Avtovokzal Khostel Stolovaya
267,Sao Joao Da Barra,BR,66.51,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
268,Tura,IN,79.18,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
271,Maningrida,AU,85.73,clear sky,-12.0667,134.2667,Dhukurrdji Lodge
272,Tirumullaivasal,IN,82.58,overcast clouds,11.2333,79.8333,AMEEN HOUSE
274,Karaton,ID,83.71,few clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
276,Hit,IQ,86.32,clear sky,33.6416,42.8251,ࢪُبَمـا ؏ُـمَـࢪ
277,Mandalgovi,MN,64.96,overcast clouds,45.7625,106.2708,В.Ганбат
279,Apatou,GF,74.07,broken clouds,5.155,-54.3472,Yoto quensha
281,Hamilton,US,74.03,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
284,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
286,Inongo,CD,69.24,scattered clouds,-1.95,18.2667,Hotel Du Lac
289,Phanat Nikhom,TH,86.09,light rain,13.4458,101.1844,I-Destiny Gallery Resort
290,Shenjiamen,CN,84.27,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
291,Broome,US,64.98,clear sky,42.2506,-75.833,Chenango Valley State Park
292,Tual,ID,79.36,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
293,Saint-Pierre,RE,66.9,scattered clouds,-21.3393,55.4781,Alize Plage
295,Srem,PL,60.85,scattered clouds,52.0887,17.0151,L'Ascada. Hotel
297,Biak,ID,81.64,overcast clouds,-0.9131,122.8766,Penginapan Kim
298,Saint-Joseph,RE,62.98,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
299,Wahiawa,US,86.32,broken clouds,21.5028,-158.0236,The Inn At Schofield
301,Kuching,MY,80.82,thunderstorm with light rain,1.55,110.3333,Hilton Kuching
302,Bowen,AU,72.57,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
304,Bambous Virieux,MU,66.45,light rain,-20.3428,57.7575,Casa Tia Villa
305,Cochabamba,BO,62.2,clear sky,-17.3895,-66.1568,Hotel Aranjuez Cochabamba
308,Lae,PG,81.27,light rain,-6.7221,146.9847,Phils Hotel
310,Wewak,PG,78.33,light rain,-3.5534,143.6268,In Wewak Boutique Hotel
311,Marrakesh,MA,80.67,clear sky,31.6315,-8.0083,Les Jardins de La Koutoubia
312,Vila Franca Do Campo,PT,76.19,light rain,37.7167,-25.4333,Pestana Bahia Praia
313,Le Mans,FR,66.13,clear sky,48.0,0.2,ibis Styles Le Mans Centre Gare
316,Isangel,VU,74.66,broken clouds,-19.55,169.2667,Tanna Lodge
319,Kutum,SD,75.18,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
321,Chandbali,IN,79.23,moderate rain,20.7833,86.7667,Sabitri Bhavan
322,Funadhoo,MV,81.5,scattered clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
323,Rahuri,IN,74.8,broken clouds,19.3833,74.65,P.W.D RESTHOUSE
327,Katobu,ID,83.61,few clouds,-4.9408,122.5276,La Ode Husein
329,Eureka,US,68.67,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
330,Beyneu,KZ,80.74,clear sky,45.3167,55.2,NUR
334,Yurimaguas,PE,74.43,scattered clouds,-5.9,-76.0833,Rio Huallaga Hotel & Business Center
335,Sibu,MY,82.71,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
336,Marsh Harbour,BS,82.47,clear sky,26.5412,-77.0636,Abaco Beach Resort
337,Baruun-Urt,MN,69.75,broken clouds,46.6806,113.2792,Ахмадын амралт сувилал
339,Jasper,US,78.89,clear sky,37.2001,-94.3502,Guest House Motel
341,Igbo Ora,NG,71.51,overcast clouds,7.4333,3.2833,Pinkbell Inn
346,Huilong,CN,89.62,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
348,Oussouye,SN,78.96,light rain,12.485,-16.5469,Auberge du Routard
349,Baghdad,IQ,85.91,clear sky,33.3406,44.4009,Baghdad Hotel
351,Naze,JP,86.92,broken clouds,28.3667,129.4833,Shishime Hotel
352,Miri,MY,89.74,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
353,Eslov,SE,60.03,clear sky,55.8393,13.3039,Stensson
354,Shingu,JP,82.31,overcast clouds,33.7333,135.9833,Shingu UI Hotel
357,Charters Towers,AU,74.97,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
360,Ust-Donetskiy,RU,77.43,overcast clouds,47.6419,40.8718,Levada
362,Palu,ID,87.67,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
364,Huanren,CN,80.67,broken clouds,41.2647,125.3667,Dynasty Wunvshan Ice Chateau
366,Anchorage,US,64.65,light rain,61.2181,-149.9003,Hotel Captain Cook
367,Calatayud,ES,78.19,clear sky,41.3535,-1.6432,Globales Castillo de Ayud
368,Blind River,CA,64.51,clear sky,46.1834,-82.9582,Auberge Eldo Inn
370,Lamar,US,86.99,scattered clouds,33.6668,-95.5836,Kings Inn Paris TX
371,Bani,DO,80.85,few clouds,18.2833,-70.3333,Hospedaje Henriquez
372,Wanning,CN,83.57,light rain,18.8003,110.3967,Paradise Hotel
374,Champerico,GT,81.81,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
375,Puerto Escondido,MX,79.63,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
376,Samarai,PG,78.69,overcast clouds,-10.6167,150.6667,Nuli Sapi
377,Saint Charles,US,79.09,clear sky,38.7667,-90.7335,Hilton Garden Inn St. Louis/O'Fallon MO
378,Phangnga,TH,86.04,overcast clouds,8.4509,98.5298,Sunimit Mansion
379,Port Hardy,CA,68.18,few clouds,50.6996,-127.4199,Airport Inn-Port Hardy
380,Pacific Grove,US,77.2,few clouds,36.6177,-121.9166,Lovers Point Inn
381,Labuhan,ID,83.57,few clouds,-6.8844,112.2051,DoubleFAG
382,Alugan,PH,84.31,overcast clouds,12.2188,125.4808,JM Lodge
384,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
385,Saquarema,BR,65.17,few clouds,-22.92,-42.5103,Hotel Fazenda Sol e Lua
386,Griffith,US,71.53,clear sky,41.5284,-87.4237,Apartment above Depot Bar
