City_ID,City_ID,City_ID.1,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
300,300,300,Launceston,AU,-41.45,147.1667,55.04,84,100,1.14,moderate rain
301,301,301,Kuching,MY,1.55,110.3333,80.82,89,40,4.61,thunderstorm with light rain
302,302,302,Bowen,AU,-20.0167,148.2333,72.57,64,93,11.1,overcast clouds
303,303,303,Laguna,US,38.421,-121.4238,93.31,41,0,13.8,clear sky
304,304,304,Bambous Virieux,MU,-20.3428,57.7575,66.45,82,40,12.66,light rain
305,305,305,Cochabamba,BO,-17.3895,-66.1568,62.2,13,0,6.91,clear sky
306,306,306,Iskateley,RU,67.6803,53.1512,53.92,94,46,9.66,scattered clouds
307,307,307,Krasnoselkup,RU,65.7,82.4667,56.73,55,99,6.29,overcast clouds
308,308,308,Lae,PG,-6.7221,146.9847,81.27,71,100,7.99,light rain
309,309,309,Chapais,CA,49.7834,-74.8492,49.78,98,100,7.81,overcast clouds
310,310,310,Wewak,PG,-3.5534,143.6268,78.33,89,100,8.68,light rain
311,311,311,Marrakesh,MA,31.6315,-8.0083,80.67,50,0,3.44,clear sky
312,312,312,Vila Franca Do Campo,PT,37.7167,-25.4333,76.19,90,84,8.43,light rain
